Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CO2 emissions from gaseous fuel consumption (% of total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.72309629,58.96700143,59.75609756,76.77419355,79.68526466,82.87981859,83.09705562,75.54744526,74.07407407,73.80952381,65.90361446,65.02673797,67.90744467,70.48903879,71.77554439,74.40174039,74.30647292,72.75021026,70.20905923,76.4354959,80.2318094,80.45363576,80.63660477,78.54961832,81.29445235,,,,
CO2 emissions from gaseous fuel consumption (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3479.983,1507.137,1617.147,2618.238,2042.519,2680.577,2794.254,2277.207,2566.9,2614.571,2005.849,2229.536,2475.225,3065.612,3142.619,3762.342,4125.375,3171.955,2955.602,3758.675,4569.082,4422.402,4459.072,3773.343,4191.381,,,,
CO2 emissions from liquid fuel consumption (% of total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.45940843,36.72883788,34.82384824,19.67741935,14.30615165,12.13151927,12.1046892,19.46472019,22.75132275,21.94616977,26.86746988,27.27272727,25.25150905,22.59696459,21.02177554,18.27411168,18.62615588,21.86711522,23.95470383,19.16480239,15.77591758,15.5436958,15.51724138,17.09923664,16.07396871,,,,
CO2 emissions from liquid fuel consumption (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.828,938.752,942.419,671.061,366.7,392.369,407.037,586.72,788.405,777.404,817.741,935.085,920.417,982.756,920.417,924.084,1034.094,953.42,1008.425,942.419,898.415,854.411,858.078,821.408,828.742,,,,
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.20362903,19.29400387,12.95774648,40.6504065,23.88059701,15.13353116,18.75,26.89873418,29.57317073,35.15358362,21.05263158,23.12138728,27.49140893,30.27522936,31.79190751,32.92978208,34.69879518,24.375,25.42694497,22.4824356,12.83950617,12.84796574,12.31617647,12.59541985,11.11111111,,,,,,
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.024193548,7.785299807,6.572769953,6.707317073,10.07462687,5.934718101,4.583333333,3.481012658,3.658536585,3.412969283,6.432748538,6.069364162,8.934707904,10.39755352,10.11560694,10.16949153,9.638554217,8.75,8.159392789,9.367681499,16.54320988,14.98929336,14.33823529,14.3129771,0.383141762,,,,,,
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.10685484,21.22823985,17.65258216,11.99186992,29.47761194,34.42136499,10.41666667,10.44303797,10.36585366,9.556313993,9.064327485,9.826589595,13.40206186,14.67889908,18.49710983,17.67554479,18.07228916,22.29166667,22.77039848,26.2295082,23.95061728,24.19700214,23.16176471,23.66412214,31.03448276,,,,,,
CO2 emissions from solid fuel consumption (% of total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.419131529,0.286944046,3.52303523,0.215053763,0.572246066,0.453514739,0.436205016,0.243309002,0,0,1.56626506,2.139037433,0,0,0.083752094,0.145032632,0.132100396,0,0.087108014,0.149142431,0.128783001,0.066711141,0,0.076335878,0.071123755,,,,
CO2 emissions from solid fuel consumption (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.034,7.334,95.342,7.334,14.668,14.668,14.668,7.334,0,0,47.671,73.34,0,0,3.667,7.334,7.334,0,3.667,7.334,7.334,3.667,0,3.667,3.667,,,,
CO2 emissions from transport (% of total fuel combustion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.91935484,14.02321083,17.18309859,24.18699187,5.970149254,3.264094955,2.5,1.898734177,2.134146341,2.389078498,16.66666667,16.47398844,18.55670103,18.04281346,17.6300578,16.22276029,15.90361446,22.08333333,23.90891841,26.69789227,31.11111111,27.62312634,23.89705882,24.42748092,27.77777778,,,,,,
CO2 intensity (kg per kg of oil equivalent energy use),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.410658798,1.165728331,1.963104819,2.073617051,1.439169591,1.737152071,1.773275353,1.644034073,1.720100764,1.766087912,1.622066556,1.730575197,1.740059339,1.731102237,1.711254246,1.772543278,1.848106019,1.670541424,1.69527799,1.810835523,1.91707548,1.895223732,1.86898405,,,,,,
Coal rents (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43E-06,0,0,
Combustible renewables and waste (% of total energy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194562575,0.183104085,0.353822946,0.650206565,1.009898778,0.829067401,0.753544258,0.713112909,0.693882308,0.713731727,0.608061154,0.446467522,0.523082236,0.60265988,0.600786249,0.328860952,0.525445656,0.298824402,0.282982848,0.324793005,0.340447672,0.311316086,0.285363899,0.293101445,1.145285204,,,,,,
"Commercial bank branches (per 100,000 adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84,12.3,13.68,15.81,17.31,17.79,18.56,19.98,21.28,21.74,22.71,23.4,23.11,23.14,23.6,24.24,
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,,,,-6636000,,,,,,,,,573425000,539285000,821669000,768241000,-43257000,158924000,-193476000,187761000,490478000,
Commercial service exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17280000,12230000,26700000,75109934.82,98546191.81,120271484.2,132537724.6,133766597.2,185541480.3,185281877.4,248716372.5,338786932,421805359.5,584125917.3,755014433.3,827896561.9,776242607.7,1001373794,1285736879,1375471849,1492516489,1593925191,1483500007,1639389552,1981029611,2173698573,2385218533,
Commercial service imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48849250,49635682.64,75191714.25,145325798.9,167781489.6,181621886.8,180310823,187514429.4,281144758.2,293331333,339176268.9,486712278.1,561370970.6,664728967,930917495.7,1123495741,1040120847,1251845503,1351310519,1478940014,1618729501,1705957825,1580847838,1569682043,1834332214,2124733946,2414428760,
"Communications, computer, etc. (% of service exports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,73.95757132,45.20979021,31.82347284,27.71776585,37.05919741,36.76884134,23.82884851,26.70756363,30.25573131,39.56078484,26.14195407,23.5097671,17.99775183,17.23663157,19.68768781,17.24821592,19.02187182,29.35397216,27.74011393,28.93624036,27.35965614,25.7527535,26.27174353,27.20497912,13.20317286,11.24888743,
"Communications, computer, etc. (% of service imports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99259968,26.2828714,23.45034214,14.74108458,20.25208139,15.72903648,25.47806087,18.43316188,41.85237427,35.24193955,33.57421134,28.52158127,23.52278742,22.90781655,17.1162538,14.69611452,16.57404954,14.3863311,11.81949362,10.80513409,10.18370259,10.31260555,12.03446322,11.91900203,11.32766202,4.739124979,4.051348236,
"Community health workers (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation of employees (% of expense),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05900565,20.45192273,21.29732203,21.365911,21.01112701,24.79931372,23.59531135,23.55235152,22.28801905,21.75515163,21.59628875,20.99096744,20.7556604,21.73025212,20.73909788,21.16025301,
Compensation of employees (current LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55187793900,83239949000,97007012770,1.14674E+11,1.58489E+11,1.8591E+11,1.87761E+11,2.00809E+11,2.03244E+11,2.24354E+11,2.50143E+11,2.65502E+11,2.70421E+11,2.73634E+11,2.75492E+11,3.01264E+11,
Completeness of birth registration (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,,,,,99.6,,,,,,99.3,,,,
"Completeness of birth registration, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,,,,,99.1,,,,,,99.1,,,,
"Completeness of birth registration, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,,,,100,,,,,,99.6,,,,
"Completeness of birth registration, rural (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,,,,,100,,,,,,99.1,,,,
"Completeness of birth registration, urban (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,,,,,99.3,,,,,,99.5,,,,
Completeness of death registration with cause-of-death information (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1,,,,,79.7,,,,,74.4,,,,,,,,,76,,,,,100,,,,
"Compulsory education, duration (years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12
"Computer, communications and other services (% of commercial service exports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.89125102,41.31086142,29.46347917,25.81070272,33.76226415,33.72974339,20.04348501,23.90053469,27.34674215,37.60751667,24.34716411,21.99661628,16.64864209,16.22704739,18.77156441,16.24155821,18.06602349,27.98551462,26.36383544,27.6561438,26.16238312,24.30363713,24.82914845,25.77139871,25.11490071,22.34537423,
"Computer, communications and other services (% of commercial service imports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99259968,26.2828714,23.45034214,14.74108458,13.49319872,10.05187173,19.35403118,10.71647877,38.89131283,33.08720773,30.80496914,26.3445844,21.24767846,20.9018883,15.04334685,12.79763167,14.82030399,12.87437065,10.17965937,9.307869857,8.725123691,8.853981538,10.47381945,10.15811877,9.193725219,9.593739949,7.713179994,
"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,4.9,,,,,9.2,,,,,,,,,,
"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,67.8,,,,,73.6,,,,,,,,,,
Consumer price index (2010 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462030296,16.04982103,44.28969387,52.56353381,59.90180477,65.0967806,65.51876772,65.00059042,67.04544702,67.7561618,70.95530514,75.89468938,76.3796018,78.58877228,82.05246309,89.39612027,92.44163764,100,107.6500081,110.4037169,116.7957253,120.2777664,124.7661613,123.014934,124.2076293,127.337952,129.1760073,130.7408917
Consumption of iodized salt (% of households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,,,,,99.3,,,,,,,,,,,99.4,,,,
Container port traffic (TEU: 20 foot equivalent units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contraceptive prevalence, any methods (% of women ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,60.5,,,,,53.1,,,,,54.9,,,,,57.1,57.1,,,,
"Contraceptive prevalence, modern methods (% of women ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,,,22.3,,,,,19.5,,,,,26.8,,,,,28,28,,,,
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25999832,32.34999847,31.75,31.79000092,31.37999916,31.57999992,31.70000076,31.21999931,31.31999969,31.47999954,30.55999947,30.30999947,30.04999924,29.19000053,28.95000076,27.94000053,26.71999931,25.96999931,24.95999908,22.23999977,19.05999947,18.92000008,18.79000092,10.10999966,10.64999962,8.789999962,3.380000114,2.089999914,1.950000048,
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89999962,19.53000069,20.23999977,20.05999947,20.07999992,19.82999992,19.51000023,19.02000046,18.44000053,17.59000015,17.03000069,16.03000069,14.97999954,14.22999954,13.11999989,12.38000011,11.60000038,11,11.01000023,9.470000267,9.670000076,8.029999733,6.650000095,5.480000019,4.480000019,3.599999905,1.399999976,0.75,0.730000019,
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69000053,25.12999916,25.21999931,25.20000076,25,24.86000061,24.71999931,24.39999962,24.17000008,23.82999992,23.13999939,22.51000023,21.85000038,21.09000015,20.40999985,19.57999992,18.62999916,17.92000008,17.39999962,15.14999962,14.02999973,13.10999966,12.25,7.610000134,7.340000153,6,2.319999933,1.360000014,1.279999971,
Cost of business start-up procedures (% of GNI per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9,0.9,0.8,0.8,
"Cost of business start-up procedures, female (% of GNI per capita)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9,0.9,0.8,0.8,
"Cost of business start-up procedures, male (% of GNI per capita)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9,0.9,0.8,0.8,
"Cost to export, border compliance (US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,100,100,100,100,100,
"Cost to export, documentary compliance (US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,
"Cost to import, border compliance (US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,100,100,0,0,0,
"Cost to import, documentary compliance (US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,
Coverage of social insurance programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9908615,51.28400186,52.10611019,52.87971092,53.36275938,53.03151195,54.75133382,53.41842881,51.89175533,55.05736892,52.32998443,,
Coverage of social insurance programs in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.03017043,54.79093822,53.58924086,55.29211624,58.300365,52.71358055,57.85231824,54.95225841,53.67998586,60.54599395,53.48797209,,
Coverage of social insurance programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.966406,49.65947654,52.37435199,52.26012133,55.14451918,51.39871637,52.16712743,51.18823924,49.45661744,56.99071834,54.23651889,,
Coverage of social insurance programs in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44260186,49.71655862,53.63595659,55.13660233,52.40462296,52.142163,55.1119693,52.27329165,47.83207223,54.55558085,53.67498401,,
Coverage of social insurance programs in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.33722356,55.0789667,54.1662786,53.53614015,56.42332115,56.69280587,56.9956313,56.56097384,55.48177658,57.52963309,55.90557155,,
Coverage of social insurance programs in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.18555433,47.1764054,46.76540326,48.17174973,44.54898418,52.2186915,51.62973409,52.11805468,53.01157494,45.67279022,44.35331872,,
Coverage of social protection and labor programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.86072898,60.78789674,65.46784711,63.57598292,65.03765529,65.0440473,66.76264983,66.57048832,67.53894227,71.05506707,67.0184814,,
Coverage of social safety net programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4404155,19.59613643,23.21633396,20.2294861,25.04328286,24.63270115,28.39566834,29.52675776,33.38010198,35.07954702,29.45044296,,
Coverage of social safety net programs in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5816975,19.34609874,24.25616694,21.34050342,28.95018566,25.44094174,31.93375001,34.50633638,35.47584958,36.62091078,33.07570535,,
Coverage of social safety net programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44014549,18.90067442,24.07756921,18.70733374,22.42228694,23.83565253,27.00799031,26.34133832,32.77207278,36.65477269,29.87738955,,
Coverage of social safety net programs in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62495637,17.88580069,18.27359243,16.53312889,19.27438965,21.8712642,23.28797832,24.55362913,25.56132147,31.2126568,25.26728672,,
Coverage of social safety net programs in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1023318,28.14876899,32.78167204,27.45091588,36.91831254,34.41062149,40.12105375,43.67295807,47.29493248,47.69550027,42.49129654,,
Coverage of social safety net programs in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46559723,13.70781435,16.69595185,17.1249478,17.66294935,17.62871321,19.63513631,18.57501227,25.81247497,23.22241482,16.56817076,,
Coverage of unemployment benefits and ALMP (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.940775064,4.142078272,6.298273877,4.345576319,3.324512149,3.205837623,0.887204435,,,,,,
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.665618912,3.912972877,6.23132559,4.324963579,3.496192112,2.427859934,0.688463514,,,,,,
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65757971,4.895394194,5.569610143,3.524907767,3.490756506,3.442712354,1.393890514,,,,,,
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.890265713,3.900137168,7.200017206,2.628205691,2.822776012,3.753606725,0.908651159,,,,,,
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.724295352,4.473496016,5.496618177,6.51983883,2.9970437,3.391419755,0.782186873,,,,,,
Coverage of unemployment benefits and ALMP in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.765818323,3.528600393,6.993591164,4.732584913,3.815131797,3.014157758,0.663099464,,,,,,
CPIA building human resources rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,,,,,,,
CPIA business regulatory environment rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4.5,,,,,,,
CPIA debt policy rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.5,6,6,5,4.5,4.5,4.5,4,,,,,,,
CPIA economic management cluster average (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333,5.333333333,5.5,5.5,5,4.666666667,4.666666667,4.666666667,4.5,,,,,,,
CPIA efficiency of revenue mobilization rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,
CPIA equity of public resource use rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,
CPIA financial sector rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,4,4,3.5,4,4,4,,,,,,,
CPIA fiscal policy rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,,,,,,,
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,,,,,,,
CPIA macroeconomic management rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,5,4.5,4.5,4.5,4.5,,,,,,,
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,4.2,4.1,4.1,4.1,4,4,4,,,,,,,
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3,3,3,3,3,3,,,,,,,
CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,
CPIA public sector management and institutions cluster average (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,,,,,,,
CPIA quality of budgetary and financial management rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,
CPIA quality of public administration rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,3.5,3.5,3.5,,,,,,,
CPIA social protection rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,,,,,,,
CPIA structural policies cluster average (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4.2,4.166666667,4,4,4.166666667,4.333333333,,,,,,,
CPIA trade rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,,,,,,,
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.5,3.5,3,3,3,3,3.5,3.5,,,,,,,
Crop production index (2014-2016 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.08,42.73,50.62,48.82,51.25,39.84,44.78,44.27,40.82,44.43,45.31,49.4,61.13,75.36,76.47,85.05,86.6,87.26,69.17,82.81,93.49,96.94,100.4,110.11,89.49,86.9,71.42,,
Current account balance (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.637996814,-7.891063059,-15.02924466,-20.17628836,-20.47821387,-21.97510346,-16.93557033,-15.78121033,-10.43981657,-6.220104597,-6.181198505,-2.204359176,-2.528323919,-2.39537307,-7.356600994,-14.22464794,-16.48371228,-13.6219495,-10.4403287,-9.962332237,-7.316245695,-7.767866538,-2.697954901,-1.022892698,-1.508233479,-6.903314263,-7.222532107,
"Current account balance (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67730000,-103780000,-220677007,-322209053,-335738765,-416148343.9,-312542932.9,-301667882.5,-221164164.3,-147810525.6,-173510013.1,-78841446.25,-123899753.9,-152931434.5,-677270882.4,-1658884234,-1425501011,-1261431338,-1058869760,-1057931945,-813673760.5,-901811470.9,-284724290.9,-107875646.4,-173860989.4,-860010880.5,-987522525.7,
"Current education expenditure, primary (% of total expenditure in primary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,100,,,,
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.87049103,,,,95.82012177,84.3743515,,,
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.51972961,99.45175171,98.79342651,100,99.64264679,98.92993164,,,
"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.95476913,77.35108185,73.96835327,100,90.70323181,87.58867645,,,
Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19581175,4.64563894,7.61358738,7.17936134,6.05510092,5.8618803,5.85007095,5.49814034,6.63976574,8.44377613,9.23538303,9.37588787,9.13455009,10.32345009,10.17827797,10.1176281,9.95195866,10.36270523,10.02538967,,
Current health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.12908936,32.25933838,59.63238907,66.77802277,72.17178345,96.35484314,126.252945,172.6018677,266.3115845,252.8356018,297.2290649,330.5755615,336.3205566,396.232544,405.7288818,364.9728088,357.4577637,405.6506958,422.2826843,,
"Current health expenditure per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.65171814,121.8019104,230.7771759,254.1229248,244.532486,279.7635498,328.1404114,363.3815308,482.3499451,534.2088623,606.3656616,658.1655884,698.7061768,826.1935425,855.4899292,883.0042725,876.6264648,996.9830322,1036.954468,,
Customs and other import duties (% of tax revenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.265176181,4.792792141,4.47201439,4.776170965,6.033193172,4.842537254,4.971862218,5.578344736,5.767333602,4.710260636,4.640430439,5.824363771,5.141101078,6.275394894,6.389419705,6.524985054,
Customs and other import duties (current LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11389887600,15410353547,17100300000,24010067539,37289946834,25111297376,29366720800,36289379703,43040111166,46320222896,48397064060,61487459028,55430686272,72564779815,80235872610,95146709030,
